Date,State,Confirmed,Recovered,Deceased,Other,Tested,population,Con_perlakh,Mortality
4/28/2021,Andaman and Nicobar Islands,5764,5562,66,0,364735,380581,1514.526474,1.145038168
4/28/2021,Andhra Pradesh,1054875,947629,7800,0,16143083,49577103,2127.746351,0.739424102
4/28/2021,Arunachal Pradesh,17898,17021,58,0,443327,1383727,1293.463234,0.324058554
4/28/2021,Assam,243802,221299,1233,1347,8409938,31205576,781.2770384,0.505738263
4/28/2021,Bihar,428001,331418,2307,1,26133854,104099452,411.1462566,0.539017432
4/28/2021,Chandigarh,40350,33924,446,0,394029,1055450,3823.01388,1.105328377
4/28/2021,Chhattisgarh,682339,555489,7782,0,7026656,25545198,2671.104761,1.140488819
4/28/2021,Delhi,1072065,958792,15009,0,16913360,16787941,6385.923086,1.400008395
4/28/2021,Dadra and Nagar Haveli and Daman and Diu,6854,4760,4,31,72410,585764,1170.095807,0.058360082
4/28/2021,Goa,81908,64231,1086,0,632131,1458545,5615.733488,1.325877814
4/28/2021,Gujarat,524725,390229,6656,0,17535696,60439692,868.1794738,1.268473963
4/28/2021,Himachal Pradesh,91350,74783,1374,42,1467876,25351462,360.3342482,1.50410509
4/28/2021,Haryana,447754,359699,3926,0,7246974,6864602,6522.650548,0.876820754
4/28/2021,Jharkhand,213414,159916,2246,0,6777383,12267032,1739.73623,1.052414556
4/28/2021,Jammu and Kashmir,166054,141574,2197,0,7125036,32988134,503.3749408,1.323063582
4/28/2021,Karnataka,1400775,1084050,14807,19,25059385,61095297,2292.770588,1.0570577
4/28/2021,Kerala,1460365,1207680,5171,337,15354299,33406061,4371.557006,0.35408956
4/28/2021,Ladakh,13642,11800,139,0,191160,274000,4978.832117,1.018912183
4/28/2021,Lakshadweep,2401,1191,1,7,71202,64473,3724.03952,0.041649313
4/28/2021,Maharashtra,4410085,3669548,66179,1924,26254737,112374333,3924.459334,1.500628673
4/28/2021,Meghalaya,16430,14788,167,0,453972,2966889,553.7787224,1.016433354
4/28/2021,Manipur,30742,29317,393,0,607553,1097206,2801.843956,1.278381368
4/28/2021,Madhya Pradesh,525407,425812,5319,0,7570860,72626809,723.4339595,1.012358039
4/28/2021,Mizoram,5742,4743,13,0,293905,1097206,523.3292563,0.226401951
4/28/2021,Nagaland,13445,12151,98,278,144871,1978502,679.5545317,0.7288955
4/28/2021,Odisha,428515,371200,2070,0,9954739,41974218,1020.900497,0.483063603
4/28/2021,Punjab,351282,290716,8630,0,7054436,27743338,1266.185057,2.456715687
4/28/2021,Puducherry,56305,47080,781,0,780162,1247953,4511.788505,1.38708818
4/28/2021,Rajasthan,546964,387976,3806,0,8411797,68548437,797.9233721,0.695841043
4/28/2021,Sikkim,7426,6133,142,168,91591,610577,1216.226618,1.912200377
4/28/2021,Telangana,419966,345647,2150,0,12666312,35003674,1199.776915,0.511946205
4/28/2021,Tamil Nadu,1113502,990919,13728,0,22248205,72147030,1543.378847,1.232867117
4/28/2021,Tripura,34859,33492,393,23,691184,3673917,948.8238303,1.12739895
4/28/2021,Uttar Pradesh,1153097,834961,11678,0,40141354,199812341,577.0899806,1.012750879
4/28/2021,Uttarakhand,162562,113736,2309,3485,3675568,10086292,1611.712213,1.420381147
4/28/2021,West Bengal,776345,664648,11082,0,10270645,91276115,850.5456219,1.427458153
